"","Region","Catchment","Transect","Transect_code","LU_UF","ant_rich","bird_rich","db_rich","liana_rich","sap_rich","tree_rich","Aboveground_pool","Litter_pool","Dead_pool","Soil_pool_new","pH","Nperc","P","K","Na","CaMg","Al","bee_rich"
"277","PGM",342,6,"342_6","LF",18,65,26,11,82,53,113.8793774,8.700948323,34.36784663,43.97,4.06,0.07,6.266666667,33.66666667,41.86666667,0.82,1.38,6
"278","PGM",342,7,"342_7","LF",30,44,29,20,63,52,78.80721056,7.348983732,38.4588395,54.98,4.62,0.17,2.4,51.2,55.06666667,1.766666667,1.006666667,NA
"279","PGM",342,8,"342_8","LF",16,49,27,18,66,52,110.29828,12.93010555,43.76383871,71.29,4.44,0.17,3,56.53333333,42.13333333,1.98,1,7
"280","PGM",342,9,"342_9","LBF",12,71,25,15,57,51,157.9512891,10.59583308,31.99738258,78.39,4.533333333,0.18,2.533333333,30.86666667,21.33333333,1.706666667,1.233333333,10
"281","PGM",358,3,"358_3","REF",12,34,10,0,1,1,12.16171743,5.316795899,0,30.71,4.746666667,0.06,5.8,43.2,18.93333333,1.293333333,0.526666667,2
"282","PGM",358,4,"358_4","LF",34,67,24,24,64,59,143.253466,10.2318792,7.949163513,73.63,4.986666667,0.18,1.933333333,48.33333333,30,3.233333333,0.5,16
"283","PGM",358,5,"358_5","LBF",38,35,26,9,59,58,87.01003975,13.77317367,38.97935757,55.86,4.673333333,0.14,1.333333333,40.26666667,26.8,1.466666667,1.006666667,16
"284","PGM",358,6,"358_6","REF",17,13,7,0,1,0,14.36331422,4.433267,0,23.61,4.306666667,0.05,4.333333333,19.2,10.6,0.786666667,0.706666667,3
"285","PGM",358,7,"358_7","REF",19,23,11,0,1,0,8.178330958,3.519987543,0,29.49,4.94,0.06,5.4,27.6,15.8,1.853333333,0.413333333,6
"286","PGM",358,9,"358_9","REF",15,17,13,0,1,0,6.411801295,2.647453545,0,25.78,5.093333333,0.05,4.6,25.66666667,24.33333333,2.026666667,0.28,5
"287","PGM",369,1,"369_1","LBF",28,43,20,15,37,36,50.26561357,9.957687308,10.99825921,57.6,5.188888889,0.14,2,48.22222222,32.22222222,4.155555556,0.488888889,4
"288","PGM",369,10,"369_10","LF",23,58,18,9,70,58,149.7202339,8.768460358,49.17885092,48.64,4.533333333,0.09,4.111111111,27.33333333,25,0.677777778,1.233333333,6
"289","PGM",369,11,"369_11","PA",24,19,10,0,1,0,0.012785537,3.134824576,8.532822284,44.67,4.8,0.1,5,77,59.22222222,3.044444444,0.788888889,6
